,Days,Tasks Completed,date
0,1,js 2 lec completed and solve 2 problem of DSA,13/09.23
1,2,"js 1 lec completed, solve 1 problem lc",14
2,3,"js lec 1 lec completed, DS hw complete,solve 1 lc",15
3,4,"js lec 1 completed,cn work completed,pyfun lec ",16
4,5,"js 2 lec completed ,ds work,1 lec com py",17
5,6,"js 1 lec completed, completed4 lec py , read cn",18
6,7,"js half lec completed,solve py questions",19
7,8,"solve 2 gfg prob,read ds",20
8,9,"ds notes datavis, cn na lec joya,js kari ",21
9,10,"py no lec joyo,js na lc joya ",22
10,11,"js na lec joya , gccf lab comolete kari , assignment karyu,os nu 1 st ch read karyu ",23
11,12,"js na lec joya , gccf lab comolete kari , assignment karyu",24
12,13,"js na lec joya, hw complete karyu , cn karyu",25
13,14,"js na lec joya , py na lec joya , ds and cn karyu ",26
14,15,only js and cn j karyu,27
15,16,"js ,assignment ,podcast joya",28
16,17,"assignment karyu,js lec joya,py na lec joya",29
17,18,"js na lec joya , cn karyu  , ada karyu ",30
18,19,"savare time pass , js na lec joya website portfolio banavanu start karyu ,figma start karyu",2023-10-01 00:00:00
19,20,"js na lec joya , mandir e gayo , js karyu web karyu , cn karyu and ada ch 2 na sum krya",2
20,21,"js na lec joya , figma na no lec joyo , cn karyu py nu joyu ",3
21,22,"js na lec joya , ada nu karyu , cn nu karyu",4
22,23,"ada nu karyu , js karyu ",5
23,24,"kale ipdc nu , ada , cn karyu ",6
24,25,"ada, ipdc complete ",7
25,26,exams,8
26,27,exams,9
27,28,exams,10
28,29,exams,11
29,30,exams,12
30,31,exams,13
31,32,exams,14
32,33,jalsa ,15
33,34,pictures joi ,16
34,35,gare gayo ,17
35,36,kainthi karyu health nati etle ,18
36,37,kainthi karyu health nati etle ,19
37,38,kainthi karyu health nati etle ,20
38,39,kainthi karyu health nati etle ,21
39,40,kainthi karyu health nati etle ,22
40,41,kainthi karyu health nati etle ,23
41,42,kainthi karyu health nati etle ,24
42,43,bhavnagar aayo and thodu ganu assignment nu karyu,25
43,44,assignment karyu js na lec joya ,26
44,45,savare js no half lec joyo,27
45,46,,28
46,47,,29
47,48,,30
48,49,,31
49,50,,
50,51,,
51,52,,
52,53,,
53,54,,
54,55,,
55,56,,
56,57,,
57,58,,
58,59,,
59,60,,
60,61,,
61,62,,
62,63,,
63,64,,
64,65,,
65,66,,
66,67,,
67,68,,
68,69,,
69,70,,
70,71,,
71,72,,
72,73,,
73,74,,
74,75,,
75,76,,
76,77,,
77,78,,
78,79,,
79,80,,
80,81,,
81,82,,
82,83,,
83,84,,
84,85,,
85,86,,
86,87,,
87,88,,
88,89,,
89,90,,
90,91,,
91,92,,
92,93,,
93,94,,
94,95,,
95,96,,
96,97,,
97,98,,
98,99,,
99,100,,
